Time [s],Channel 0,Channel 2
0.000000000,0,1
6.953942720,0,0
6.953991840,0,1
10.825758720,1,1
10.826258720,0,1
10.826373760,0,0
10.826758560,1,0
10.826817760,1,1
10.827258560,0,1
10.827312320,0,0
10.827758560,1,0
10.827814560,1,1
10.828258560,0,1
10.828311200,0,0
10.828758560,1,0
10.828813920,1,1
10.829258560,0,1
10.829310400,0,0
10.829758400,1,0
10.829810080,1,1
10.830258400,0,1
10.830310400,0,0
10.830758400,1,0
10.830810240,1,1
10.831258400,0,1
10.831313280,0,0
10.831758400,1,0
10.831810720,1,1
10.832258240,0,1
10.832313760,0,0
10.832758240,1,0
10.832810240,1,1
10.833258240,0,1
10.833313120,0,0
10.833758240,1,0
10.833810080,1,1
10.834258240,0,1
10.834313600,0,0
10.834758080,1,0
10.834809920,1,1
10.835258080,0,1
10.835313440,0,0
10.835758080,1,0
10.835809600,1,1
10.836258080,0,1
10.836313120,0,0
10.836758080,1,0
10.836809600,1,1
10.837258080,0,1
10.837312640,0,0
10.837757920,1,0
10.837809920,1,1
10.838257920,0,1
10.838313280,0,0
10.838757920,1,0
10.838809600,1,1
10.839257920,0,1
10.839313280,0,0
10.839757920,1,0
10.839809760,1,1
10.840257920,0,1
10.840309760,0,0
10.840757760,1,0
10.840809760,1,1
10.841257760,0,1
10.841309280,0,0
10.841757760,1,0
10.841812480,1,1
10.842257760,0,1
10.842309120,0,0
10.842757760,1,0
10.842812960,1,1
10.843257600,0,1
10.843309280,0,0
10.843757600,1,0
10.843814400,1,1
10.844257600,0,1
10.844309120,0,0
10.844757600,1,0
10.844812480,1,1
10.845257600,0,1
10.845309120,0,0
10.845757440,1,0
10.845812320,1,1
10.846257440,0,1
10.846309280,0,0
10.846757440,1,0
10.846812960,1,1
10.847257440,0,1
10.847321600,0,0
10.847757440,1,0
10.847814880,1,1
10.848257440,0,1
10.848309920,0,0
10.848757280,1,0
10.848813120,1,1
10.849257280,0,1
10.849308800,0,0
10.849757280,1,0
10.849812640,1,1
10.850257280,0,1
10.850308960,0,0
10.850757280,1,0
10.850812320,1,1
10.851257280,0,1
10.851308960,0,0
10.851757120,1,0
10.851808800,1,1
10.852257120,0,1
10.852309120,0,0
10.852757120,1,0
10.852808480,1,1
10.853257120,0,1
10.853312640,0,0
10.853757120,1,0
10.853809280,1,1
10.854256960,0,1
10.854312320,0,0
10.854756960,1,0
10.854809120,1,1
10.855256960,0,1
10.855312320,0,0
10.855756960,1,0
10.855808800,1,1
10.856256960,0,1
10.856312320,0,0
10.856756800,1,0
10.856808640,1,1
10.857256800,0,1
10.857312160,0,0
10.857756800,1,0
10.857808480,1,1
10.858256800,0,1
10.858312160,0,0
10.858756800,1,0
10.858808160,1,1
10.859256800,0,1
10.859312320,0,0
10.859756640,1,0
10.859808320,1,1
10.860256640,0,1
10.860312320,0,0
10.860756640,1,0
10.860808480,1,1
10.861256640,0,1
10.861311840,0,0
10.861756640,1,0
10.861808320,1,1
10.862256640,0,1
10.862308000,0,0
10.862756480,1,0
10.862808480,1,1
10.863256480,0,1
10.863308480,0,0
10.863756480,1,0
10.863812320,1,1
10.864256480,0,1
10.864308000,0,0
10.864756480,1,0
10.864811840,1,1
10.865256320,0,1
10.865308160,0,0
10.865756320,1,0
10.865812000,1,1
10.866256320,0,1
10.866308000,0,0
10.866756320,1,0
10.866810880,1,1
10.867256320,0,1
10.867308000,0,0
10.867756160,1,0
10.867811520,1,1
10.868256160,0,1
10.868308000,0,0
10.868756160,1,0
10.868811680,1,1
10.869256160,0,1
10.869307840,0,0
10.869756160,1,0
10.869811840,1,1
10.870256160,0,1
10.870307840,0,0
10.870756000,1,0
10.870811520,1,1
10.871256000,0,1
10.871308160,0,0
10.871756000,1,0
10.871811200,1,1
10.872256000,0,1
10.872307680,0,0
10.872756000,1,0
10.872807360,1,1
10.873256000,0,1
10.873308000,0,0
10.873755840,1,0
10.873808640,1,1
10.874255840,0,1
10.874306880,0,0
10.874755840,1,0
10.874803360,1,1
10.875255840,0,1
10.875307040,0,0
10.875755840,1,0
10.875803040,1,1
10.876255680,0,1
10.876306560,0,0
10.876755680,1,0
10.876803360,1,1
10.877255680,0,1
10.877306720,0,0
10.877755680,1,0
10.877803200,1,1
10.878255680,0,1
10.878306400,0,0
10.878755520,1,0
10.878802720,1,1
10.879255520,0,1
10.879306880,0,0
10.879755520,1,0
10.879803040,1,1
10.880255520,0,1
10.880306240,0,0
10.880755520,1,0
10.880802720,1,1
10.881255520,0,1
10.881306400,0,0
10.881755360,1,0
10.881802880,1,1
10.882255360,0,1
10.882305920,0,0
10.882755360,1,0
10.882802880,1,1
10.883255360,0,1
10.883305760,0,0
10.883755360,1,0
10.883810560,1,1
10.884255360,0,1
10.884307680,0,0
10.884755200,1,0
10.884807520,1,1
10.885255200,0,1
10.885306720,0,0
10.885755200,1,0
10.885810240,1,1
10.886255200,0,1
10.886307040,0,0
10.886755200,1,0
10.886810240,1,1
10.887255040,0,1
10.887306240,0,0
10.887755040,1,0
10.887810240,1,1
10.888255040,0,1
10.888306560,0,0
10.888755040,1,0
10.888810240,1,1
10.889255040,0,1
10.889306880,0,0
10.889754880,1,0
10.889809920,1,1
10.890254880,0,1
10.890306720,0,0
10.890754880,1,0
10.890810400,1,1
10.891254880,0,1
10.891306560,0,0
10.891754880,1,0
10.891810080,1,1
10.892254880,0,1
10.892306720,0,0
10.892754720,1,0
10.892810400,1,1
10.893254720,0,1
10.893306240,0,0
10.893754720,1,0
10.893811040,1,1
10.894254720,0,1
10.894306560,0,0
10.894754720,1,0
10.894806560,1,1
10.895254720,0,1
10.895306880,0,0
10.895754560,1,0
10.895806560,1,1
10.896254560,0,1
10.896309440,0,0
10.896754560,1,0
10.896806240,1,1
10.897254560,0,1
10.897309440,0,0
10.897754560,1,0
10.897806080,1,1
10.898254400,0,1
10.898309280,0,0
10.898754400,1,0
10.898806400,1,1
10.899254400,0,1
10.899309600,0,0
10.899754400,1,0
10.899806240,1,1
10.900254400,0,1
10.900309600,0,0
10.900754240,1,0
10.900805760,1,1
10.901254240,0,1
10.901309440,0,0
10.901754240,1,0
10.901805600,1,1
10.902254240,0,1
10.902310240,0,0
10.902754240,1,0
10.902805440,1,1
10.903254240,0,1
10.903309120,0,0
10.903754080,1,0
10.903806720,1,1
10.904254080,0,1
10.904309600,0,0
10.904754080,1,0
10.904805760,1,1
10.905254080,0,1
10.905305760,0,0
10.905754080,1,0
10.905806080,1,1
10.906254080,0,1
10.906305440,0,0
10.906753920,1,0
10.906808800,1,1
10.907253920,0,1
10.907305440,0,0
10.907753920,1,0
10.907808960,1,1
10.908253920,0,1
10.908305600,0,0
10.908753920,1,0
10.908808640,1,1
10.909253760,0,1
10.909306080,0,0
10.909753760,1,0
10.909808960,1,1
10.910253760,0,1
10.910305120,0,0
10.910753760,1,0
10.910808640,1,1
10.911253760,0,1
10.911305280,0,0
10.911753600,1,0
10.911808640,1,1
10.912253600,0,1
10.912305600,0,0
10.912753600,1,0
10.912808640,1,1
10.913253600,0,1
10.913304960,0,0
10.913753600,1,0
10.913809440,1,1
10.914253600,0,1
10.914305920,0,0
10.914753440,1,0
10.914808800,1,1
10.915253440,0,1
10.915304960,0,0
10.915753440,1,0
10.915808640,1,1
10.916253440,0,1
10.916305280,0,0
10.916753440,1,0
10.916804800,1,1
10.917253440,0,1
10.917305760,0,0
10.917753280,1,0
10.917805120,1,1
10.918253280,0,1
10.918308640,0,0
10.918753280,1,0
10.918805440,1,1
10.919253280,0,1
10.919308320,0,0
10.919753280,1,0
10.919804640,1,1
10.920253120,0,1
10.920307840,0,0
10.920753120,1,0
10.920805280,1,1
10.921253120,0,1
10.921307520,0,0
10.921753120,1,0
10.921804800,1,1
10.922253120,0,1
10.922308160,0,0
10.922752960,1,0
10.922804320,1,1
10.923252960,0,1
10.923308480,0,0
10.923752960,1,0
10.923805600,1,1
10.924252960,0,1
10.924307840,0,0
10.924752960,1,0
10.924804960,1,1
10.925252960,0,1
10.925308320,0,0
10.925752800,1,0
10.925804320,1,1
10.926252800,0,1
10.926308160,0,0
10.926752800,1,0
10.926804160,1,1
10.927252800,0,1
10.927304640,0,0
10.927752800,1,0
10.927804960,1,1
10.928252800,0,1
10.928304320,0,0
10.928752640,1,0
10.928807680,1,1
10.929252640,0,1
10.929304160,0,0
10.929752640,1,0
10.929807200,1,1
10.930252640,0,1
10.930304480,0,0
10.930752640,1,0
10.930807360,1,1
10.931252480,0,1
10.931304480,0,0
10.931752480,1,0
10.931807680,1,1
10.932252480,0,1
10.932304000,0,0
10.932752480,1,0
10.932807520,1,1
10.933252480,0,1
10.933304160,0,0
10.933752320,1,0
10.933808000,1,1
10.934252320,0,1
10.934304000,0,0
10.934752320,1,0
10.934807680,1,1
10.935252320,0,1
10.935303840,0,0
10.935752320,1,0
10.935807360,1,1
10.936252320,0,1
10.936304160,0,0
10.936752160,1,0
10.936807360,1,1
10.937252160,0,1
10.937303840,0,0
10.937752160,1,0
10.937803520,1,1
10.938252160,0,1
10.938304000,0,0
10.938752160,1,0
10.938803680,1,1
10.939252160,0,1
10.939307040,0,0
10.939752000,1,0
10.939803520,1,1
10.940252000,0,1
10.940307040,0,0
10.940752000,1,0
10.940803360,1,1
10.941252000,0,1
10.941306880,0,0
10.941752000,1,0
10.941803520,1,1
10.942251840,0,1
10.942306880,0,0
10.942751840,1,0
10.942803360,1,1
10.943251840,0,1
10.943306560,0,0
10.943751840,1,0
10.943804480,1,1
10.944251840,0,1
10.944307040,0,0
10.944751680,1,0
10.944803360,1,1
10.945251680,0,1
10.945306560,0,0
10.945751680,1,0
10.945803520,1,1
10.946251680,0,1
10.946306400,0,0
10.946751680,1,0
10.946803520,1,1
10.947251680,0,1
10.947306240,0,0
10.947751520,1,0
10.947803360,1,1
10.948251520,0,1
10.948306560,0,0
10.948751520,1,0
10.948803360,1,1
10.949251520,0,1
10.949303040,0,0
10.949751520,1,0
10.949803200,1,1
10.950251520,0,1
10.950302720,0,0
10.950751360,1,0
10.950806400,1,1
10.951251360,0,1
10.951303040,0,0
10.951751360,1,0
10.951805920,1,1
10.952251360,0,1
10.952303040,0,0
10.952751360,1,0
10.952806240,1,1
10.953251200,0,1
10.953303040,0,0
10.953751200,1,0
10.953803200,1,1
10.954251200,0,1
10.954294560,0,0
10.954751200,1,0
10.954797440,1,1
10.955251200,0,1
10.955294720,0,0
10.955751040,1,0
10.955797440,1,1
10.956251040,0,1
10.956294560,0,0
10.956751040,1,0
10.956797600,1,1
10.957251040,0,1
10.957294400,0,0
10.957751040,1,0
10.957797280,1,1
10.958251040,0,1
10.958294240,0,0
10.958750880,1,0
10.958797440,1,1
10.959250880,0,1
