Time [s],Channel 0,Channel 2
0.000000000,1,1
3.758070240,0,1
3.758074240,0,0
3.763070080,1,0
3.763073920,1,1
3.768070080,0,1
3.768073920,0,0
3.773069920,1,0
3.773073760,1,1
3.778069920,0,1
3.778073760,0,0
3.783069760,1,0
3.783073600,1,1
3.788069760,0,1
3.788073600,0,0
3.793069600,1,0
3.793073440,1,1
3.798069440,0,1
3.798073440,0,0
3.803069440,1,0
3.803073280,1,1
3.808069280,0,1
3.808073280,0,0
3.813069280,1,0
3.813072960,1,1
3.818069120,0,1
3.818072960,0,0
3.823069120,1,0
3.823072800,1,1
3.828068960,0,1
3.828072800,0,0
3.833068800,1,0
3.833072640,1,1
3.838068800,0,1
3.838072640,0,0
3.843068640,1,0
3.843072480,1,1
3.848068640,0,1
3.848072480,0,0
3.853068480,1,0
3.853072320,1,1
3.858068480,0,1
3.858072320,0,0
3.863068320,1,0
3.863072160,1,1
3.868068320,0,1
3.868072160,0,0
3.873068160,1,0
3.873072000,1,1
3.878068160,0,1
3.878072000,0,0
3.883068000,1,0
3.883071840,1,1
3.888067840,0,1
3.888071840,0,0
3.893067840,1,0
3.893071680,1,1
3.898067680,0,1
3.898071680,0,0
3.903067680,1,0
3.903071360,1,1
3.908067520,0,1
3.908071360,0,0
3.913067520,1,0
3.913071200,1,1
3.918067360,0,1
3.918071200,0,0
3.923067360,1,0
3.923070240,1,1
3.928067200,0,1
3.928070240,0,0
3.933067040,1,0
3.933071040,1,1
3.938067040,0,1
3.938070880,0,0
3.943066880,1,0
3.943070720,1,1
3.948066880,0,1
3.948070720,0,0
3.953066720,1,0
3.953070560,1,1
3.958066720,0,1
3.958070560,0,0
3.963066560,1,0
3.963070400,1,1
3.968066560,0,1
3.968070400,0,0
3.973066400,1,0
3.973070240,1,1
3.978066240,0,1
3.978070240,0,0
3.983066240,1,0
3.983070080,1,1
3.988066080,0,1
3.988070080,0,0
3.993066080,1,0
3.993069760,1,1
3.998065920,0,1
3.998069760,0,0
4.003065920,1,0
4.003069600,1,1
4.008065760,0,1
4.008069600,0,0
4.013065760,1,0
4.013069440,1,1
4.018065600,0,1
4.018069440,0,0
4.023065440,1,0
4.023069280,1,1
4.028065440,0,1
4.028069280,0,0
4.033065280,1,0
4.033069120,1,1
4.038065280,0,1
4.038069120,0,0
4.043065120,1,0
4.043068960,1,1
4.048065120,0,1
4.048068960,0,0
4.053064960,1,0
4.053068800,1,1
4.058064960,0,1
4.058068800,0,0
4.063064800,1,0
4.063068640,1,1
4.068064800,0,1
4.068068640,0,0
4.073064640,1,0
4.073068480,1,1
4.078064480,0,1
4.078068480,0,0
4.083064480,1,0
4.083068160,1,1
4.088064320,0,1
4.088068160,0,0
4.093064320,1,0
4.093068000,1,1
4.098064160,0,1
4.098068000,0,0
4.103064160,1,0
4.103067840,1,1
4.108064000,0,1
4.108068000,0,0
4.113063840,1,0
